AABC,ABAC
ENOP,PENO
ENPS,PENS
ENPY,PENY
DEPR,PERD
EIPR,PERI
ENPR,PERN
EPRS,PERS
EPRX,PERX
AEPS,PESA
EEPS,PESE
EOPS,PESO
EEPT,PETE
EIPT,PETI
EJPT,PETJ
EPST,PETS
EPSU,PEUS
AFIP,PIAF
CIPS,PICS
AGIP,PIGA
IILP,PILI
ILLP,PILL
ILPU,PILU
CINP,PINC
INPS,PINS
INPT,PINT
INPX,PINX
EIPP,PIPE
IIPP,PIPI
IOPP,PIPO
IIPR,PIRI
IOPR,PIRO
IIPS,PISI
IPPS,PISP
IIPT,PITI
IJPT,PITJ
IPST,PITS
EIPU,PIUE
IIPU,PIUI
IOPU,PIUO
IPSU,PIUS
IIPX,PIXI
IOPX,PIXO
ALNP,PLAN
ALPT,PLAT
CELP,PLEC
EGLP,PLEG
ELPR,PLER
ELPT,PLET
FLOP,PLOF
LMOP,PLOM
LOPR,PLOR
LOPU,PLOU
LPSU,PLUS
AOPU,POAU
BLOP,POBL
EMOP,POEM
EOPU,POEU
LOOP,POLO
LOPP,POLP
LOPS,POLS
MOPS,POMS
CNOP,PONC
NOPS,PONS
NOPT,PONT
NOPX,PONX
EOPP,POPE
OOPP,POPO
OPPS,POPS
COPR,PORC
OPRS,PORS
OPRT,PORT
OPST,POST
OOPU,POUO
EEPR,PREE
EGPR,PREG
EPRU,PREU
IMPR,PRIM
IPRS,PRIS
IPRV,PRIV
NOPR,PRON
OPPR,PROP
OPRU,PROU
OPRV,PROV
IPRU,PRUI
PRSU,PRUS
PRUU,PRUU
IPSS,PSIS
BPSU,PUBS
ACPU,PUCA
ADPU,PUDA
DIPU,PUDI
DOPU,PUDO
DPUU,PUDU
FIPU,PUFI
FPSU,PUFS
AGPU,PUGA
EGPU,PUGE
GNPU,PUGN
GOPU,PUGO
IPUX,PUIX
JOPU,PUJO
AMPU,PUMA
MPSU,PUMS
ANPU,PUNA
INPU,PUNI
NPTU,PUNT
NPUX,PUNX
NPUY,PUNY
PSTU,PUTS
ALQU,QUAL
ANQU,QUAN
CEQU,QUEC
DEQU,QUED
EQRU,QUER
EQSU,QUES
CIQU,QUIC
DIQU,QUID
ILQU,QUIL
IMQU,QUIM
INQU,QUIN
IQTU,QUIT
ADRS,RADS
AERU,RAEU
AAJR,RAJA
AJOR,RAJO
AARR,RARA
ARRS,RARS
AARS,RASA
AART,RATA
ARTX,RATX
ARSU,RAUS
BEER,REBE
BELR,REBL
EEFR,REFE
EGLR,REGL
EGNR,REGN
EIRX,REIX
EELR,RELE
ELRS,RELS
ENRS,RENS
ENRY,RENY
EPRT,REPT
EORT,RETO
ERTX,RETX
ERSU,REUS
EERV,REVE
EIRV,REVI
HORS,RHOS
CIRS,RICS
IMRS,RIMS
GINR,RING
INRY,RINY
IRST,RIST
IMRT,RITM
IRTU,RITU
IRSU,RIUS
LORS,ROLS
MOPR,ROMP
NORX,RONX
NORY,RONY
ORST,ROST
IORT,ROTI
ORSU,ROUS
AORV,ROVA
FLRU,RUFL
IRUX,RUIX
AGNS,SAGN
AAIS,SAIA
ADLS,SALD
ALOS,SALO
ALSS,SALS
ALSV,SALV
ANSS,SANS
APSS,SAPS
AOSX,SAXO
CESS,SECS
EESU,SEEU
AEIS,SEIA
EISS,SEIS
EMSS,SEMS
ENSS,SENS
ENSY,SENY
ERRS,SERR
ERSS,SERS
ERSV,SERV
ESST,SEST
EIST,SETI
AESU,SEUA
ESSU,SEUS
AESX,SEXA
EESX,SEXE
EOSX,SEXO
ESTX,SEXT
FIOS,SIFO
ILSS,SILS
IIMS,SIMI
INSS,SINS
IIST,SITI
ISST,SITS
ISTU,SITU
AJOS,SOJA
ELOS,SOLE
LOOS,SOLO
MOSS,SOMS
NOSS,SONS
NORS,SORN
ORRS,SORR
ORSS,SORS
JOST,SOTJ
OSST,SOTS
OSSU,SOUS
ASSU,SUAS
ASTU,SUAT
ASUU,SUAU
CSSU,SUCS
DSSU,SUDS
ESUU,SUEU
FISU,SUFI
ISSU,SUIS
RSTU,SURT
AELT,TALE
AILT,TALI
ALLT,TALL
ANTT,TANT
ANTY,TANY
ADRT,TARD
ASTT,TAST
AATT,TATA
ATTU,TATU
ATTX,TATX
ALTU,TAUL
AATV,TAVA
AETX,TAXE
AITX,TAXI
AOTX,TAXO
ELST,TELS
ESTT,TEST
AETT,TETA
ELTU,TEUL
ESTU,TEUS
ETTX,TEXT
AIJT,TIJA
ILST,TILS
IMST,TIMS
INTT,TINT
INTY,TINY
ILOT,TIOL
AITT,TITA
IITT,TITI
ISTT,TITS
IITX,TIXI
IOTX,TIXO
LOTT,TOLT
LOTU,TOLU
BMOT,TOMB
NOST,TONS
DORT,TORD
NORT,TORN
ORRT,TORR
ORTT,TORT
OSTT,TOST
OSTU,TOUS
ACRT,TRAC
ARTV,TRAV
EMRT,TREM
ERTT,TRET
ERTU,TREU
GIRT,TRIG
IRTT,TRIT
CSTU,TUCS
DOTU,TUDO
ITTU,TUIT
LSTU,TULS
EPTU,TUPE
IPTU,TUPI
OPTU,TUPO
ORTU,TURO
STTU,TUST
TTUU,TUTU
CETX,TXEC
BCIU,UBIC
ACMU,UCAM
ACUU,UCAU
DLOU,UDOL
EGMU,UGEM
EGNU,UGEN
EGUU,UGEU
GINU,UGIN
AJMU,UJAM
AJUU,UJAU
LRTU,ULTR
FLNU,UNFL
GLNU,UNGL
INOU,UNIO
INRU,UNIR
INTU,UNIT
INUU,UNIU
INUX,UNIX
NOTU,UNTO
NSTU,UNTS
EQUU,UQUE
IQUU,UQUI
BRSU,URBS
DRUU,URDU
AEUV,UVEA
ACUV,VACU
AAGV,VAGA
AGIV,VAGI
AIRV,VAIR
AAJV,VAJA
AGLV,VALG
AANV,VANA
ANSV,VANS
ANTV,VANT
ARSV,VARS
AASV,VASA
ASTV,VAST
ASUV,VAUS
DEEV,VEDE
DEIV,VEDI
DEOV,VEDO
EEMV,VEEM
EEUV,VEEU
AEGV,VEGA
EGIV,VEGI
EEIV,VEIE
EIMV,VEIM
AEJV,VEJA
AELV,VELA
EILV,VELI
ELSV,VELS
CENV,VENC
EJNV,VENJ
ENSV,VENS
ENTV,VENT
BERV,VERB
DERV,VERD
EMRV,VERM
ENRV,VERN
CESV,VESC
EESV,VESE
EOSV,VESO
ESTV,VEST
EETV,VETE
ELTV,VETL
EOTV,VETO
ESUV,VEUS
AEVX,VEXA
EEVX,VEXE
EIVX,VEXI
EOVX,VEXO
AIMV,VIAM
AITV,VIAT
CIIV,VICI
DIUV,VIDU
EIUV,VIEU
GIIV,VIGI
IISV,VIIS
ILSV,VILS
IMSV,VIMS
CINV,VINC
INSV,VINS
INTV,VINT
IOTV,VIOT
IIRV,VIRI
IORV,VIRO
CISV,VISC
IOSV,VISO
ISTV,VIST
ISUV,VIUS
DOUV,VODU
GIOV,VOGI
GOOV,VOGO
LOOV,VOLO
LOSV,VOLS
LOTV,VOLT
EORV,VORE
OOTV,VOTO
OSTV,VOTS
DUUV,VUDU
ITUV,VUIT
LLUV,VULL
LTUV,VULT
AACX,XACA
ACSX,XACS
AAFX,XAFA
AEFX,XAFE
AFOX,XAFO
ALSX,XALS
AAMX,XAMA
AEMX,XAME
AMOX,XAMO
AAPX,XAPA
AOPX,XAPO
APSX,XAPS
AARX,XARA
AERX,XARE
AORX,XARO
APRX,XARP
ARRX,XARR
ASTX,XATS
ATUX,XAUT
AAVX,XAVA
AOVX,XAVO
CESX,XECS
EFSX,XEFS
CEIX,XEIC
EIXX,XEIX
AENX,XENA
ENOX,XENO
ELOX,XEOL
ERRX,XERR
ACIX,XICA
CISX,XICS
FIRX,XIFR
EILX,XILE
INSX,XINS
IPSX,XIPS
COOX,XOCO
COSX,XOCS
LLOX,XOLL
EOPX,XOPE
OOPX,XOPO
OPSX,XOPS
CORX,XORC
ORRX,XORR
OSTX,XOTS
OSUX,XOUS
CLUX,XUCL
AFUX,XUFA
ITUX,XUIT
IUXX,XUIX
AMUX,XUMA
EMUX,XUME
IMUX,XUMI
MOUX,XUMO
NTUX,XUNT
APUX,XUPA
LPUX,XUPL
MRUX,XURM
ETUX,XUTE
OTUX,XUTO
STUX,XUTS
BEUZ,ZEBU
DEIZ,ZEID
AELZ,ZELA
EELZ,ZELE
EILZ,ZELI
ELOZ,ZELO
ELSZ,ZELS
CENZ,ZENC
ENSZ,ZENS
EORZ,ZERO
AETZ,ZETA
CINZ,ZINC
ANOZ,ZONA
MOOZ,ZOOM
OOSZ,ZOOS
AUUZ,ZUAU
LUUZ,ZULU
.,.
